name,set,product_id,rarity,number,market_price,low_price,mid_price,printing
Grimorum Arcanorum,Whispers in the Well,660360,Rare,67/204,0.98,0.25,1.0,Cold Foil
The Game's Afoot!,Whispers in the Well,660361,Uncommon,198/204,0.28,0.07,0.3,Cold Foil
Mulan - Standing Her Ground (Epic),Whispers in the Well,660362,Epic,215/204,2.09,1.23,2.53,Holofoil
Daisy Duck - Ghost Finder (Epic),Whispers in the Well,660363,Epic,217/204,2.32,1.67,2.79,Holofoil
Minnie Mouse - Ghost Hunter (Epic),Whispers in the Well,660364,Epic,220/204,2.05,2.0,3.0,Holofoil
Goofy - Galumphing Gumshoe (Enchanted),Whispers in the Well,660365,Enchanted,223/204,54.32,72.0,114.97,Holofoil
Penumbra - Moon Alien,Whispers in the Well,660366,Rare,84/204,0.34,0.24,0.37,Cold Foil
Performance Review,Whispers in the Well,660367,Uncommon,64/204,0.08,0.02,0.12,Normal
Disney Lorcana: Fabled Booster Box,Fabled,645298,,,350.31,375.0,450.0,Normal
Disney Lorcana: Illumineer's Trove,Fabled,645299,,,117.75,119.0,149.99,Normal
Disney Lorcana: Fabled Booster Box Case,Fabled,645300,,,1107.57,1699.0,1800.0,Normal
Disney Lorcana: Fabled Starter Deck (Emerald & Ruby),Fabled,645305,,,22.14,15.99,20.1,Normal
Disney Lorcana: Fabled Starter Deck (Amber & Sapphire),Fabled,645306,,,15.78,16.0,19.99,Normal
Disney Lorcana: Fabled Starter Deck [Set of 2],Fabled,645307,,,41.38,34.97,40.0,Normal
Disney Lorcana: Fabled Gift Set,Fabled,645308,,,22.14,15.0,26.85,Normal
Disney Lorcana: Fabled Starter Deck Display,Fabled,645313,,,,,,Normal
Disney Lorcana: Fabled Collection Starter Set,Fabled,646033,,,47.69,41.88,59.99,Normal
Ariel - Singing Mermaid,Fabled,647652,Rare,15/204,0.34,0.15,0.4,Cold Foil
Alice - Accidentally Adrift (Epic),Fabled,647656,Epic,217/204,5.22,4.0,6.0,Holofoil
Kuzco - Wanted Llama (Epic),Fabled,647657,Epic,209/204,4.21,3.89,5.61,Holofoil
Stand Out (Epic),Fabled,647659,Epic,213/204,3.48,2.7,4.14,Holofoil
Elsa - Snow Queen (Epic),Fabled,647660,Epic,210/204,8.41,6.27,9.99,Holofoil
Mickey Mouse - Brave Little Prince (Iconic),Fabled,647663,Iconic,242/204,1717.57,3655.0,4327.5,Holofoil
Rose Lantern,Fabled,647667,Common,67/204,0.05,0.01,0.1,Normal
John Silver - Alien Pirate,Fabled,647668,Legendary,89/204,4.6,3.98,5.23,Cold Foil
Queen of Hearts - Sensing Weakness,Fabled,647670,Uncommon,120/204,0.36,0.25,0.5,Cold Foil
Alice - Growing Girl,Fabled,647672,Super Rare,160/204,1.11,0.86,1.23,Cold Foil
Strength of a Raging Fire,Fabled,647674,Rare,201/204,2.69,1.25,2.69,Cold Foil
Stand Out,Fabled,647675,Uncommon,94/204,0.4,0.2,0.4,Cold Foil
The Magic Feather,Fabled,647677,Rare,64/204,0.26,0.05,0.33,Normal
Timothy Q. Mouse - Flight Instructor,Fabled,647678,Common,47/204,0.34,0.18,0.44,Cold Foil
Dumbo - The Flying Elephant,Fabled,647679,Uncommon,46/204,0.11,0.01,0.15,Normal
Dumbo - Ninth Wonder of the Universe,Fabled,647680,Legendary,45/204,32.07,31.99,40.0,Normal
Max Goof - Rebellious Teen,Fabled,647681,Rare,75/204,2.32,1.75,2.5,Holofoil
Powerline - Taking the Stage,Fabled,647682,Common,109/204,0.55,0.2,0.61,Cold Foil
Lilo - Best Explorer Ever,Fabled,649222,Super Rare,174/204,2.53,1.5,2.9,Cold Foil
Powerline - World's Greatest Rock Star,Fabled,649224,Super Rare,110/204,1.0,0.38,1.17,Normal
Circle of Life,Fabled,649225,Legendary,26/204,10.36,9.0,10.99,Cold Foil
Max Goof - Chart Topper,Fabled,649228,Legendary,77/204,6.75,5.33,7.91,Normal
Circle of Life (Enchanted),Fabled,649230,Enchanted,225/204,163.33,373.46,375.0,Holofoil
Powerline - World's Greatest Rock Star (Enchanted),Fabled,649231,Enchanted,233/204,102.32,165.0,185.63,Holofoil
Lilo - Best Explorer Ever (Enchanted),Fabled,649236,Enchanted,238/204,91.78,114.99,127.5,Holofoil
Disney Lorcana: Fabled Booster Pack,Fabled,649927,,,10.08,10.77,13.25,Normal
The Queen - Conceited Ruler,Fabled,649950,Rare,1/204,0.48,0.24,0.59,Cold Foil
Pongo - Determined Father,Fabled,649951,Super Rare,2/204,0.13,0.05,0.23,Normal
Stitch - Rock Star,Fabled,649952,Super Rare,3/204,0.46,0.05,0.5,Normal
Beast - Gracious Prince,Fabled,649953,Rare,4/204,0.22,0.15,0.3,Normal
Minnie Mouse - Sweetheart Princess,Fabled,649954,Super Rare,5/204,1.87,1.75,2.27,Cold Foil
Aurora - Holding Court,Fabled,649955,Uncommon,6/204,1.29,0.88,1.78,Cold Foil
The Queen - Regal Monarch,Fabled,649956,Common,7/204,0.14,0.01,0.2,Cold Foil
Rapunzel - Sunshine,Fabled,649957,Common,8/204,0.14,0.01,0.2,Cold Foil
Stitch - Alien Dancer,Fabled,649958,Common,9/204,0.06,0.01,0.1,Normal
Mulan - Free Spirit,Fabled,649959,Common,10/204,0.17,0.02,0.25,Cold Foil
Daisy Duck - Musketeer Spy,Fabled,649960,Common,11/204,0.09,0.01,0.1,Normal
Tinker Bell - Generous Fairy,Fabled,649961,Uncommon,12/204,0.2,0.05,0.3,Cold Foil
Mickey Mouse - True Friend,Fabled,649962,Uncommon,13/204,0.24,0.09,0.27,Cold Foil
Pluto - Determined Defender,Fabled,649963,Rare,14/204,0.16,0.01,0.18,Normal
Pluto - Rescue Dog,Fabled,649964,Common,16/204,0.11,0.01,0.2,Cold Foil
Nani - Protective Sister,Fabled,649965,Uncommon,17/204,0.04,0.01,0.1,Normal
Julieta Madrigal - Excellent Cook,Fabled,649966,Uncommon,18/204,0.08,0.01,0.1,Normal
Cinderella - Gentle and Kind,Fabled,649967,Uncommon,19/204,0.25,0.01,0.25,Cold Foil
Moana - Of Motunui,Fabled,649968,Rare,20/204,0.38,0.18,0.49,Cold Foil
Pluto - Friendly Pooch,Fabled,649969,Common,21/204,0.11,0.01,0.11,Normal
Ursula - Vanessa,Fabled,649970,Common,22/204,0.14,0.01,0.14,Normal
Queen of Hearts - Wonderland Empress,Fabled,649971,Uncommon,23/204,0.21,0.04,0.25,Cold Foil
Stitch - Carefree Surfer,Fabled,649972,Legendary,24/204,12.7,2.0,17.01,Cold Foil
Look at This Family,Fabled,649973,Rare,25/204,0.32,0.1,0.37,Cold Foil
Heal What Has Been Hurt,Fabled,649974,Common,27/204,0.2,0.01,0.2,Cold Foil
Lost in the Woods,Fabled,649975,Common,28/204,0.15,0.02,0.25,Cold Foil
Bruno's Return,Fabled,649976,Uncommon,29/204,0.17,0.04,0.2,Cold Foil
World's Greatest Criminal Mind,Fabled,649977,Uncommon,30/204,0.62,0.38,0.61,Cold Foil
Be Our Guest,Fabled,649978,Common,31/204,0.07,0.01,0.1,Normal
Lantern,Fabled,649979,Rare,32/204,0.19,0.05,0.25,Normal
Ursula's Shell Necklace,Fabled,649980,Rare,33/204,0.35,0.15,0.4,Cold Foil
Atlantica - Concert Hall,Fabled,649981,Common,34/204,0.06,0.01,0.1,Normal
The Queen - Wicked and Vain,Fabled,649982,Rare,35/204,0.29,0.15,0.31,Cold Foil
Rafiki - Mystical Fighter,Fabled,649983,Rare,36/204,1.5,1.14,1.67,Cold Foil
Ursula - Sea Witch,Fabled,649984,Rare,37/204,0.16,0.04,0.18,Normal
Jafar - Keeper of Secrets,Fabled,649985,Rare,38/204,0.34,0.2,0.4,Cold Foil
Belle - Untrained Mystic,Fabled,649986,Common,39/204,0.22,0.01,0.25,Cold Foil
Belle - Accomplished Mystic,Fabled,649987,Super Rare,40/204,2.37,1.0,2.53,Cold Foil
Winnie the Pooh - Hunny Wizard,Fabled,649988,Common,41/204,0.07,0.01,0.1,Normal
Peter Pan's Shadow - Not Sewn On,Fabled,649989,Super Rare,42/204,0.44,0.15,0.48,Cold Foil
Elsa - Spirit of Winter,Fabled,649990,Legendary,43/204,5.42,3.76,6.0,Cold Foil
Ursula - Voice Stealer,Fabled,649991,Super Rare,44/204,2.8,2.2,3.73,Cold Foil
Elsa - Gloves Off,Fabled,649992,Common,48/204,0.2,0.05,0.2,Cold Foil
Kuzco - Wanted Llama,Fabled,649993,Common,49/204,0.14,0.04,0.25,Cold Foil
Tick-Tock - Ever-Present Pursuer,Fabled,649994,Common,50/204,0.04,0.01,0.1,Normal
Dolores Madrigal - Easy Listener,Fabled,649995,Common,51/204,0.06,0.01,0.1,Normal
Camilo Madrigal - Prankster,Fabled,649996,Uncommon,52/204,0.31,0.08,0.37,Cold Foil
Elsa - Snow Queen,Fabled,649997,Uncommon,53/204,0.1,0.01,0.15,Normal
Genie - Supportive Friend,Fabled,649998,Rare,54/204,0.13,0.01,0.19,Normal
Olaf - Friendly Snowman,Fabled,649999,Uncommon,55/204,0.12,0.01,0.12,Normal
Sven - Official Ice Deliverer,Fabled,650000,Uncommon,56/204,0.23,0.04,0.25,Cold Foil
Mama Odie - Voice of Wisdom,Fabled,650001,Uncommon,57/204,0.18,0.03,0.24,Cold Foil
Luisa Madrigal - Magically Strong One,Fabled,650002,Common,58/204,0.19,0.03,0.23,Cold Foil
Jafar - Lamp Thief,Fabled,650003,Uncommon,59/204,0.07,0.01,0.1,Normal
Second Star to the Right,Fabled,650004,Rare,60/204,0.72,0.49,0.77,Cold Foil
Poor Unfortunate Souls,Fabled,650005,Common,61/204,0.16,0.01,0.24,Cold Foil
Last-Ditch Effort,Fabled,650006,Uncommon,62/204,0.26,0.05,0.32,Cold Foil
I'm Stuck!,Fabled,650007,Common,63/204,0.05,0.01,0.1,Normal
Magic Mirror,Fabled,650008,Uncommon,65/204,0.04,0.01,0.1,Normal
White Rabbit's Pocket Watch,Fabled,650009,Rare,66/204,0.36,0.09,0.39,Cold Foil
Casa Madrigal - Casita,Fabled,650010,Common,68/204,0.13,0.01,0.2,Cold Foil
Kuzco - Temperamental Emperor,Fabled,650011,Rare,69/204,0.08,0.04,0.15,Normal
Robin Hood - Daydreamer,Fabled,650012,Rare,70/204,0.13,0.01,0.18,Normal
Cursed Merfolk - Ursula's Handiwork,Fabled,650013,Rare,71/204,0.81,0.25,0.79,Cold Foil
Prince Phillip - Warden of the Woods,Fabled,650014,Rare,72/204,0.11,0.01,0.18,Normal
Prince Phillip - Vanquisher of Foes,Fabled,650015,Super Rare,73/204,3.85,2.55,4.2,Cold Foil
Goofy - Set for Adventure,Fabled,650016,Rare,74/204,0.62,0.44,0.68,Cold Foil
Genie - Of the Lamp,Fabled,650017,Super Rare,76/204,2.04,1.0,2.5,Cold Foil
Bobby Zimuruski - Spray Cheese Kid,Fabled,650018,Uncommon,78/204,3.98,3.0,4.27,Cold Foil
Megara - Pulling the Strings,Fabled,650019,Common,79/204,0.07,0.01,0.1,Normal
Mickey Mouse - Steamboat Pilot,Fabled,650020,Common,80/204,0.17,0.02,0.21,Cold Foil
Enchantress - Unexpected Judge,Fabled,650021,Common,81/204,0.05,0.01,0.1,Normal
Virana - Fang Chief,Fabled,650022,Common,82/204,0.13,0.01,0.2,Cold Foil
Donald Duck - Sleepwalker,Fabled,650023,Common,83/204,0.04,0.01,0.1,Normal
Pegasus - Gift for Hercules,Fabled,650024,Common,84/204,0.2,0.04,0.24,Cold Foil
Donald Duck - Perfect Gentleman,Fabled,650025,Uncommon,85/204,0.13,0.01,0.14,Normal
Heihei - Bumbling Rooster,Fabled,650026,Uncommon,86/204,0.09,0.01,0.13,Normal
Shenzi - Hyena Pack Leader,Fabled,650027,Super Rare,87/204,0.26,0.15,0.36,Cold Foil
Tinker Bell - Most Helpful,Fabled,650028,Common,88/204,0.04,0.01,0.1,Normal
Ursula - Deceiver,Fabled,650029,Uncommon,90/204,0.17,0.01,0.18,Normal
Wildcat - Mechanic,Fabled,650030,Uncommon,91/204,0.04,0.01,0.1,Normal
Aladdin - Prince Ali,Fabled,650031,Common,92/204,0.04,0.01,0.1,Normal
Daisy Duck - Secret Agent,Fabled,650032,Uncommon,93/204,0.08,0.01,0.12,Normal
Sudden Chill,Fabled,650033,Common,95/204,0.25,0.03,0.25,Cold Foil
Improvise,Fabled,650034,Common,96/204,0.06,0.01,0.1,Normal
Under the Sea,Fabled,650035,Rare,97/204,2.32,1.25,2.91,Cold Foil
Make the Potion,Fabled,650036,Common,98/204,0.06,0.01,0.1,Normal
Mother Knows Best,Fabled,650037,Uncommon,99/204,0.11,0.01,0.13,Normal
Family Fishing Pole,Fabled,650038,Rare,100/204,0.19,0.06,0.25,Normal
Signed Contract,Fabled,650039,Uncommon,101/204,0.27,0.1,0.27,Cold Foil
Hidden Cove - Tranquil Haven,Fabled,650040,Common,102/204,0.12,0.01,0.25,Cold Foil
LeFou - Instigator,Fabled,650041,Uncommon,103/204,0.04,0.01,0.1,Normal
Shere Khan - Menacing Predator,Fabled,650042,Rare,104/204,0.48,0.29,0.51,Cold Foil
Simba - Scrappy Cub,Fabled,650043,Rare,105/204,0.33,0.1,0.3,Cold Foil
Maui - Whale,Fabled,650044,Rare,106/204,0.24,0.1,0.26,Cold Foil
Ariel - Adventurous Collector,Fabled,650045,Super Rare,107/204,0.2,0.02,0.25,Normal
Maleficent - Monstrous Dragon,Fabled,650046,Legendary,108/204,2.08,2.0,3.4,Cold Foil
Mickey Mouse - Brave Little Prince,Fabled,650047,Legendary,111/204,12.59,9.86,18.8,Cold Foil
Max Goof - Rockin' Teen,Fabled,650048,Common,112/204,0.12,0.01,0.12,Normal
Roxanne - Powerline Fan,Fabled,650049,Uncommon,113/204,0.12,0.01,0.15,Normal
P.J. Pete - Caught Up in the Music,Fabled,650050,Common,114/204,0.17,0.05,0.21,Cold Foil
Gaston - Arrogant Hunter,Fabled,650051,Common,115/204,0.15,0.05,0.15,Cold Foil
Moana - Undeterred Voyager,Fabled,650052,Common,116/204,0.05,0.01,0.1,Normal
Powerline - Musical Superstar,Fabled,650053,Rare,117/204,0.23,0.01,0.3,Normal
Sisu - Emboldened Warrior,Fabled,650054,Rare,118/204,0.21,0.02,0.23,Normal
Sisu - Daring Visitor,Fabled,650055,Uncommon,119/204,0.1,0.01,0.11,Normal
Lumiere - Fiery Friend,Fabled,650056,Rare,121/204,0.26,0.09,0.26,Normal
Card Soldiers - Full Deck,Fabled,650057,Uncommon,122/204,0.19,0.07,0.25,Cold Foil
Queen of Hearts - Impulsive Ruler,Fabled,650058,Common,123/204,0.18,0.01,0.25,Cold Foil
Rapunzel - Letting Down Her Hair,Fabled,650059,Common,124/204,0.17,0.05,0.2,Cold Foil
Mulan - Injured Soldier,Fabled,650060,Common,125/204,0.19,0.02,0.25,Cold Foil
Mulan - Elite Archer,Fabled,650061,Super Rare,126/204,0.56,0.24,0.6,Normal
Raya - Headstrong,Fabled,650062,Common,127/204,0.03,0.01,0.1,Normal
Sergeant Tibbs - Courageous Cat,Fabled,650063,Common,128/204,0.04,0.01,0.1,Normal
Tuk Tuk - Lively Partner,Fabled,650064,Uncommon,129/204,0.07,0.01,0.1,Normal
I2I,Fabled,650065,Rare,130/204,1.23,0.84,1.23,Cold Foil
You Can Fly!,Fabled,650066,Common,131/204,0.13,0.03,0.25,Cold Foil
A Pirate's Life,Fabled,650067,Uncommon,132/204,0.1,0.01,0.13,Normal
Be King Undisputed,Fabled,650068,Uncommon,133/204,0.3,0.19,0.37,Cold Foil
Medallion Weights,Fabled,650069,Uncommon,134/204,0.09,0.01,0.14,Normal
Dinner Bell,Fabled,650070,Rare,135/204,0.1,0.01,0.15,Normal
Agrabah - Marketplace,Fabled,650071,Common,136/204,0.04,0.01,0.1,Normal
Anna - True-Hearted,Fabled,650072,Rare,137/204,0.21,0.1,0.25,Normal
Huey - Savvy Nephew,Fabled,650073,Rare,138/204,0.32,0.17,0.38,Cold Foil
Dewey - Showy Nephew,Fabled,650074,Uncommon,139/204,0.21,0.05,0.25,Cold Foil
Louie - Chill Nephew,Fabled,650075,Common,140/204,0.11,0.02,0.2,Cold Foil
Alice - Accidentally Adrift,Fabled,650076,Rare,141/204,0.17,0.05,0.21,Normal
Mulan - Considerate Diplomat,Fabled,650077,Super Rare,142/204,1.32,0.99,1.34,Holofoil
Cruella De Vil - Style Icon,Fabled,650078,Legendary,143/204,4.03,3.51,6.0,Cold Foil
Mufasa - King of the Pride Lands,Fabled,650079,Common,144/204,0.13,0.01,0.2,Cold Foil
Cruella De Vil - Fashionable Cruiser,Fabled,650080,Common,145/204,0.04,0.01,0.1,Normal
Anna - Braving the Storm,Fabled,650081,Common,146/204,0.19,0.05,0.23,Cold Foil
Flounder - Voice of Reason,Fabled,650082,Common,147/204,0.06,0.01,0.1,Normal
Hans - Noble Scoundrel,Fabled,650083,Common,148/204,0.18,0.03,0.2,Cold Foil
The Queen - Mirror Seeker,Fabled,650084,Uncommon,149/204,0.14,0.1,0.25,Cold Foil
Grand Pabbie - Oldest and Wisest,Fabled,650085,Rare,150/204,0.32,0.15,0.4,Cold Foil
Hades - Infernal Schemer,Fabled,650086,Legendary,151/204,9.63,9.18,10.99,Normal
Mama Odie - Mystical Maven,Fabled,650087,Rare,152/204,0.26,0.19,0.3,Cold Foil
Aurora - Dreaming Guardian,Fabled,650088,Super Rare,153/204,1.1,0.25,1.2,Cold Foil
Aurora - Tranquil Princess,Fabled,650089,Common,154/204,0.04,0.01,0.1,Normal
Jasmine - Heir of Agrabah,Fabled,650090,Common,155/204,0.21,0.04,0.25,Cold Foil
Belle - Inventive Engineer,Fabled,650091,Uncommon,156/204,0.24,0.05,0.25,Cold Foil
Judy Hopps - Optimistic Officer,Fabled,650092,Uncommon,157/204,0.25,0.1,0.3,Cold Foil
Maid Marian - Delightful Dreamer,Fabled,650093,Common,158/204,0.03,0.01,0.1,Normal
Winnie the Pooh - Having a Think,Fabled,650094,Rare,159/204,0.44,0.2,0.45,Cold Foil
Aurora - Regal Princess,Fabled,650095,Uncommon,161/204,0.3,0.15,0.3,Cold Foil
Robin Hood - Unrivaled Archer,Fabled,650096,Rare,162/204,0.72,0.43,0.9,Cold Foil
Develop Your Brain,Fabled,650097,Common,163/204,0.08,0.01,0.13,Normal
Four Dozen Eggs,Fabled,650098,Uncommon,164/204,0.08,0.01,0.1,Normal
One Jump Ahead,Fabled,650099,Common,165/204,0.07,0.01,0.1,Normal
Dig a Little Deeper,Fabled,650100,Uncommon,166/204,0.06,0.01,0.11,Normal
Aurelian Gyrosensor,Fabled,650101,Uncommon,167/204,0.05,0.01,0.1,Normal
Heart of Te Fiti,Fabled,650102,Rare,168/204,0.17,0.04,0.18,Normal
Coconut Basket,Fabled,650103,Common,169/204,0.03,0.01,0.1,Normal
Motunui - Island Paradise,Fabled,650104,Uncommon,170/204,0.05,0.01,0.1,Normal
Philoctetes - No-Nonsense Instructor,Fabled,650105,Rare,171/204,0.41,0.15,0.41,Cold Foil
Mickey Mouse - Trumpeter,Fabled,650106,Super Rare,172/204,0.29,0.1,0.29,Normal
Nala - Undaunted Lioness,Fabled,650107,Rare,173/204,1.04,0.49,1.29,Normal
Scar - Finally King,Fabled,650108,Legendary,175/204,2.76,1.99,3.23,Normal
Little John - Sir Reginald,Fabled,650109,Uncommon,176/204,0.08,0.01,0.12,Normal
Robin Hood - Champion of Sherwood,Fabled,650110,Legendary,177/204,1.18,0.7,1.45,Normal
Jasmine - Fearless Princess,Fabled,650111,Rare,178/204,0.52,0.23,0.7,Normal
Tiana - Diligent Waitress,Fabled,650112,Common,179/204,0.12,0.02,0.15,Cold Foil
Benja - Guardian of the Dragon Gem,Fabled,650113,Common,180/204,0.13,0.01,0.25,Cold Foil
Jafar - Royal Vizier,Fabled,650114,Common,181/204,0.14,0.03,0.2,Cold Foil
Prince Naveen - Penniless Royal,Fabled,650115,Common,182/204,0.08,0.01,0.1,Normal
Eeyore - Overstuffed Donkey,Fabled,650116,Common,183/204,0.04,0.01,0.1,Normal
Robin Hood - Capable Fighter,Fabled,650117,Uncommon,184/204,0.08,0.01,0.11,Normal
Mickey Mouse - Standard Bearer,Fabled,650118,Common,185/204,0.05,0.01,0.1,Normal
Hercules - Beloved Hero,Fabled,650119,Uncommon,186/204,0.21,0.1,0.25,Cold Foil
Lawrence - Jealous Manservant,Fabled,650120,Uncommon,187/204,0.06,0.01,0.12,Normal
Tinker Bell - Giant Fairy,Fabled,650121,Super Rare,188/204,1.56,0.94,1.75,Cold Foil
Tinker Bell - Tiny Tactician,Fabled,650122,Common,189/204,0.14,0.03,0.2,Cold Foil
Captain Hook - Captain of the Jolly Roger,Fabled,650123,Rare,190/204,0.27,0.15,0.35,Cold Foil
Hercules - True Hero,Fabled,650124,Common,191/204,0.15,0.05,0.21,Cold Foil
John Silver - Greedy Treasure Seeker,Fabled,650125,Rare,192/204,0.17,0.05,0.2,Normal
Li Shang - Imperial Captain,Fabled,650126,Uncommon,193/204,0.08,0.01,0.1,Normal
Prince Eric - Dashing and Brave,Fabled,650127,Common,194/204,0.15,0.03,0.2,Cold Foil
Ariel - Sonic Warrior,Fabled,650128,Rare,195/204,0.24,0.01,0.25,Normal
Ariel - Determined Mermaid,Fabled,650129,Common,196/204,0.19,0.06,0.2,Cold Foil
One Last Hope,Fabled,650130,Rare,197/204,0.47,0.2,0.46,Cold Foil
Smash,Fabled,650131,Uncommon,198/204,0.12,0.01,0.15,Normal
"I Find 'Em, I Flatten 'Em",Fabled,650132,Uncommon,199/204,0.21,0.11,0.25,Cold Foil
Fire the Cannons!,Fabled,650133,Common,200/204,0.1,0.01,0.12,Normal
The Mob Song,Fabled,650134,Uncommon,202/204,0.05,0.01,0.1,Normal
Beast's Mirror,Fabled,650135,Common,203/204,0.12,0.01,0.2,Cold Foil
Maui's Place of Exile - Hidden Island,Fabled,650136,Uncommon,204/204,0.08,0.01,0.1,Normal
The Queen - Conceited Ruler (Epic),Fabled,650141,Epic,205/204,2.75,2.31,4.29,Holofoil
Aurora - Holding Court (Epic),Fabled,650142,Epic,206/204,15.58,15.21,18.72,Holofoil
Stitch - Alien Dancer (Epic),Fabled,650143,Epic,207/204,10.67,4.83,18.5,Holofoil
Ursula - Sea Witch (Epic),Fabled,650145,Epic,208/204,2.74,1.95,3.55,Holofoil
Goofy - Set for Adventure (Epic),Fabled,650147,Epic,211/204,4.42,3.31,5.0,Holofoil
Pegasus - Gift for Hercules (Epic),Fabled,650149,Epic,212/204,3.87,3.33,5.16,Holofoil
Max Goof - Rockin' Teen (Epic),Fabled,650150,Epic,214/204,4.95,4.66,6.02,Holofoil
Powerline - Musical Superstar (Epic),Fabled,650151,Epic,215/204,5.25,3.3,6.02,Holofoil
Be King Undisputed (Epic),Fabled,650152,Epic,216/204,6.26,5.7,8.0,Holofoil
Anna - Braving the Storm (Epic),Fabled,650153,Epic,218/204,13.47,11.54,13.55,Holofoil
The Queen - Mirror Seeker (Epic),Fabled,650154,Epic,219/204,2.07,1.3,2.78,Holofoil
Robin Hood - Capable Fighter (Epic),Fabled,650155,Epic,220/204,3.49,2.0,4.25,Holofoil
Mickey Mouse - Standard Bearer (Epic),Fabled,650156,Epic,221/204,4.36,3.68,5.0,Holofoil
One Last Hope (Epic),Fabled,650157,Epic,222/204,3.23,2.38,4.16,Holofoil
Minnie Mouse - Sweetheart Princess (Iconic),Fabled,651106,Iconic,241/204,975.15,2402.67,2499.99,Holofoil
Winnie the Pooh - Hunny Wizard (Enchanted),Fabled,651107,Enchanted,227/204,400.04,700.0,701.5,Holofoil
Scar - Finally King (Enchanted),Fabled,651108,Enchanted,239/204,132.83,158.48,196.14,Holofoil
Pongo - Determined Father (Enchanted),Fabled,651110,Enchanted,223/204,83.83,135.0,150.0,Holofoil
Mulan - Considerate Diplomat (Enchanted),Fabled,651111,Enchanted,235/204,79.61,123.08,131.25,Holofoil
Mickey Mouse - Steamboat Pilot (Enchanted),Fabled,651112,Enchanted,231/204,158.96,206.52,223.92,Holofoil
Max Goof - Chart Topper (Enchanted),Fabled,651113,Enchanted,230/204,109.13,120.0,150.69,Holofoil
Jasmine - Fearless Princess (Enchanted),Fabled,651114,Enchanted,240/204,104.92,125.09,169.98,Holofoil
I2I (Enchanted),Fabled,651116,Enchanted,234/204,212.96,315.0,315.0,Holofoil
Hades - Infernal Schemer (Enchanted),Fabled,651117,Enchanted,237/204,200.82,200.0,211.7,Holofoil
Genie - Of the Lamp (Enchanted),Fabled,651118,Enchanted,229/204,70.29,80.0,102.0,Holofoil
Dumbo - Ninth Wonder of the Universe (Enchanted),Fabled,651119,Enchanted,228/204,262.25,389.97,440.0,Holofoil
Cruella De Vil - Style Icon (Enchanted),Fabled,651120,Enchanted,236/204,63.89,120.0,148.74,Holofoil
Belle - Accomplished Mystic (Enchanted),Fabled,651121,Enchanted,226/204,177.72,204.99,270.09,Holofoil
Beast - Gracious Prince (Enchanted),Fabled,651122,Enchanted,224/204,86.7,199.99,209.5,Holofoil
Ariel - Adventurous Collector (Enchanted),Fabled,651123,Enchanted,232/204,216.22,290.0,310.99,Holofoil
Bruno Madrigal - Undetected Uncle,Fabled,651127,Super Rare,0/204,0.21,0.09,0.25,Normal
Disney Lorcana: Fabled Sleeved Booster Pack,Fabled,652306,,,11.14,11.0,14.99,Normal
Disney Lorcana: Fabled Sleeved Booster Pack Art Bundle [Set of 3],Fabled,652308,,,29.94,50.0,50.0,Normal
Disney Lorcana: Fabled Sleeved Booster Pack Case,Fabled,652312,,,379.56,700.0,799.0,Normal
Disney Lorcana: Illumineer's Quest: Palace Heist,Illumineer's Quest: Palace Heist,623065,,,20.22,18.38,25.12,Normal
Iago - Crown Seeker,Illumineer's Quest: Palace Heist,631973,None,11/35,0.44,0.3,0.44,Normal
Hall of Illusions - Mysterious Chamber,Illumineer's Quest: Palace Heist,631974,None,33/35,0.28,0.23,0.29,Normal
Bolt - Superdog (223/204),Illumineer's Quest: Palace Heist,634262,Super Rare,223/204,0.92,0.6,1.01,Cold Foil
Goofy - Groundbreaking Chef (223/204),Illumineer's Quest: Palace Heist,634263,Legendary,223/204,1.99,1.4,2.01,Cold Foil
Pinocchio - Strings Attached (224/204),Illumineer's Quest: Palace Heist,634264,Legendary,224/204,1.47,1.0,2.0,Cold Foil
Elsa - Ice Maker (224/204),Illumineer's Quest: Palace Heist,634265,Super Rare,224/204,0.96,0.75,1.37,Cold Foil
Ink Moat - First Line of Defense,Illumineer's Quest: Palace Heist,634271,None,35/35,0.37,0.25,0.36,Normal
Metal Scorpion - Deadly Statue,Illumineer's Quest: Palace Heist,634273,None,1/35,0.43,0.25,0.43,Normal
Palace Guard - Crown Hunter,Illumineer's Quest: Palace Heist,634279,None,2/35,0.2,0.12,0.2,Normal
Clockwork Sawblades - Treacherous Trap,Illumineer's Quest: Palace Heist,634283,None,34/35,0.33,0.22,0.33,Normal
Iago - Raucous Lookout,Illumineer's Quest: Palace Heist,634284,None,3/35,0.42,0.25,0.42,Normal
Razoul - Unyielding Guard,Illumineer's Quest: Palace Heist,634286,None,4/35,0.3,0.22,0.3,Normal
Treasure Guardian - Illusionary Protector,Illumineer's Quest: Palace Heist,634288,None,5/35,0.69,0.55,0.69,Normal
Jafar - Spectral Sorcerer,Illumineer's Quest: Palace Heist,634293,None,6/35,0.47,0.39,0.47,Normal
Genie - Towering Phantasm,Illumineer's Quest: Palace Heist,634294,None,7/35,0.51,0.39,0.5,Normal
The Sultan - Spectral Ruler,Illumineer's Quest: Palace Heist,634295,None,8/35,0.44,0.36,0.44,Normal
Jasmine - Ephemeral Princess,Illumineer's Quest: Palace Heist,634297,None,9/35,1.04,0.99,1.17,Normal
